num,id,v_pixperfm,v_ms,loc1,loc2,fm_diff,fm,dmax_pix,dmax_m,scale_mmperpix,fps,airdens_kgm3,dynvisc_pas,Re,CHA_m2,CHA_pix2,name
1,2_17_1.png,98.4,1.373548596,414,906,5,16,97,0.00564734,0.05822,239.76,1.3143,1.69E-05,604.7973994,1.91E-05,5637,'2_17_1.png'
2,2_17_2.png,93.63636364,1.30705382,252,1282,11,,22,0.00128084,0.05822,239.76,1.3143,1.69E-05,130.5299894,1.65E-06,487,'2_17_2.png'
3,2_17_3a.png,65.07692308,0.908397524,584,1430,13,7619,46,0.00267812,0.05822,239.76,1.3143,1.69E-05,189.6827882,4.29E-06,1266,'2_17_3a.png'
4,2_17_3b.png,65.07692308,0.908397524,584,1430,13,7619,49,0.00285278,0.05822,239.76,1.3143,1.69E-05,202.0534048,6.40E-06,1889,'2_17_3b.png'
5,2_17_4.png,64.58333333,0.90150759,520,1295,12,1199,25,0.0014555,0.05822,239.76,1.3143,1.69E-05,102.3065754,2.18E-06,644,'2_17_4.png'
6,2_17_5.png,85.46666667,1.193014431,78,1360,15,1511,40,0.0023288,0.05822,239.76,1.3143,1.69E-05,216.6206426,3.38E-06,997,'2_17_5.png'
7,2_17_6.png,85.05882353,1.187321419,60,1506,17,1541,50,0.002911,0.05822,239.76,1.3143,1.69E-05,269.4836731,4.88E-06,1441,'2_17_6.png'
8,2_17_7.png,89.2,1.245127386,164,1502,15,1578,55,0.0032021,0.05822,239.76,1.3143,1.69E-05,310.8641398,7.63E-06,2252,'2_17_7.png'
9,2_17_8a.png,126.2,1.761603993,88,1350,10,1626,118,0.00686996,0.05822,239.76,1.3143,1.69E-05,943.5924223,2.09E-05,6169,'2_17_8a.png'
10,2_17_8b.png,126.2,1.761603993,88,1350,10,1636,111,0.00646242,0.05822,239.76,1.3143,1.69E-05,887.6166006,2.87E-05,8464,'2_17_8b.png'
