v_ms,d_mm,class,count
0.05,0.06,1,0
0.05,0.19,2,0
0.05,0.31,3,0
0.05,0.44,4,0
0.05,0.56,5,0
0.05,0.69,6,0
0.05,0.81,7,0
0.05,0.94,8,0
0.05,1.06,9,0
0.05,1.19,10,0
0.05,1.38,11,0
0.05,1.63,12,0
0.05,1.88,13,0
0.05,2.13,14,0
0.05,2.38,15,0
0.05,2.75,16,0
0.05,3.25,17,0
0.05,3.75,18,0
0.05,4.25,19,0
0.05,4.75,20,0
0.05,5.5,21,0
0.05,6.5,22,0
0.05,7.5,23,0
0.05,8.5,24,0
0.05,9.5,25,0
0.05,11,26,0
0.05,13,27,0
0.05,15,28,0
0.05,17,29,0
0.05,19,30,0
0.05,21.5,31,0
0.05,24.5,32,0
0.15,0.06,33,0
0.15,0.19,34,0
0.15,0.31,35,0
0.15,0.44,36,0
0.15,0.56,37,0
0.15,0.69,38,0
0.15,0.81,39,0
0.15,0.94,40,0
0.15,1.06,41,0
0.15,1.19,42,0
0.15,1.38,43,0
0.15,1.63,44,0
0.15,1.88,45,0
0.15,2.13,46,0
0.15,2.38,47,0
0.15,2.75,48,0
0.15,3.25,49,0
0.15,3.75,50,0
0.15,4.25,51,0
0.15,4.75,52,0
0.15,5.5,53,0
0.15,6.5,54,0
0.15,7.5,55,0
0.15,8.5,56,0
0.15,9.5,57,0
0.15,11,58,0
0.15,13,59,0
0.15,15,60,0
0.15,17,61,0
0.15,19,62,0
0.15,21.5,63,0
0.15,24.5,64,0
0.25,0.06,65,0
0.25,0.19,66,0
0.25,0.31,67,0
0.25,0.44,68,0
0.25,0.56,69,1
0.25,0.69,70,0
0.25,0.81,71,2
0.25,0.94,72,0
0.25,1.06,73,3
0.25,1.19,74,0
0.25,1.38,75,5
0.25,1.63,76,3
0.25,1.88,77,0
0.25,2.13,78,0
0.25,2.38,79,0
0.25,2.75,80,0
0.25,3.25,81,0
0.25,3.75,82,0
0.25,4.25,83,0
0.25,4.75,84,0
0.25,5.5,85,0
0.25,6.5,86,0
0.25,7.5,87,0
0.25,8.5,88,0
0.25,9.5,89,0
0.25,11,90,0
0.25,13,91,0
0.25,15,92,0
0.25,17,93,0
0.25,19,94,0
0.25,21.5,95,0
0.25,24.5,96,0
0.35,0.06,97,0
0.35,0.19,98,0
0.35,0.31,99,0
0.35,0.44,100,1
0.35,0.56,101,0
0.35,0.69,102,2
0.35,0.81,103,2
0.35,0.94,104,10
0.35,1.06,105,8
0.35,1.19,106,13
0.35,1.38,107,17
0.35,1.63,108,13
0.35,1.88,109,9
0.35,2.13,110,3
0.35,2.38,111,0
0.35,2.75,112,0
0.35,3.25,113,0
0.35,3.75,114,0
0.35,4.25,115,0
0.35,4.75,116,0
0.35,5.5,117,0
0.35,6.5,118,0
0.35,7.5,119,0
0.35,8.5,120,0
0.35,9.5,121,0
0.35,11,122,0
0.35,13,123,0
0.35,15,124,0
0.35,17,125,0
0.35,19,126,0
0.35,21.5,127,0
0.35,24.5,128,0
0.45,0.06,129,0
0.45,0.19,130,0
0.45,0.31,131,1
0.45,0.44,132,1
0.45,0.56,133,9
0.45,0.69,134,15
0.45,0.81,135,20
0.45,0.94,136,34
